step,train_loss,val_loss,learning_rate,temperature,grad_norm,step_time_sec
52,4.8569,,5.200000e-05,0.0701,1.0457,1.2194
99,4.8519,,9.900000e-05,0.0703,0.4172,1.1494
53,4.8831,,5.300000e-05,0.0701,1.1928,0.8506
100,4.8467,,1.000000e-04,0.0703,0.4087,0.9168
54,4.8624,,5.400000e-05,0.0701,1.1938,0.9655
101,4.8472,,1.010000e-04,0.0703,0.3724,1.1551
55,4.8747,,5.500000e-05,0.0701,1.0683,1.0030
102,4.8475,,1.020000e-04,0.0703,0.3789,1.0127
56,4.8613,,5.600000e-05,0.0701,1.1097,0.9545
200,4.8475,4.8239,2.000000e-04,0.0706,0.3379,2.8732
103,4.8433,,1.030000e-04,0.0703,0.3928,1.1036
57,4.8552,,5.700000e-05,0.0701,1.2773,1.0921
104,4.8480,,1.040000e-04,0.0703,0.4174,1.1162
58,4.8592,,5.800000e-05,0.0701,0.8881,0.9497
59,4.8713,,5.900000e-05,0.0701,0.8819,1.2013
105,4.8493,,1.050000e-04,0.0703,0.4645,1.3153
60,4.8562,,6.000000e-05,0.0701,1.2223,0.8707
106,4.8508,,1.060000e-04,0.0703,0.3884,0.9003
61,4.8695,,6.100000e-05,0.0701,0.8897,0.7484
107,4.8563,,1.070000e-04,0.0703,0.4290,0.8395
62,4.8562,,6.200000e-05,0.0701,0.7488,0.8325
108,4.8310,,1.080000e-04,0.0703,0.5821,0.9740
63,4.8570,,6.300000e-05,0.0701,1.0530,1.3742
109,4.8574,,1.090000e-04,0.0703,0.4641,1.2701
64,4.8678,,6.400000e-05,0.0701,0.8604,1.0300
110,4.8517,,1.100000e-04,0.0703,0.4328,0.9952
65,4.8621,,6.500000e-05,0.0701,0.8552,0.7021
111,4.8370,,1.110000e-04,0.0703,0.5447,0.7720
66,4.8588,,6.600000e-05,0.0702,0.9230,0.7378
112,4.8526,,1.120000e-04,0.0703,0.4815,1.0494
67,4.8631,,6.700000e-05,0.0702,1.0958,1.1424
113,4.8426,,1.130000e-04,0.0703,0.5092,0.8659
68,4.8413,,6.800000e-05,0.0702,0.7560,1.0455
114,4.8579,,1.140000e-04,0.0703,0.4693,0.9722
69,4.8615,,6.900000e-05,0.0702,0.6139,0.6528
115,4.8411,,1.150000e-04,0.0703,0.4849,0.7265
70,4.8460,,7.000000e-05,0.0702,0.6706,0.5820
116,4.8502,,1.160000e-04,0.0703,0.4691,0.6560
71,4.8710,,7.100000e-05,0.0702,0.8188,0.6056
117,4.8664,,1.170000e-04,0.0703,0.5232,0.6715
72,4.8563,,7.200000e-05,0.0702,0.6253,0.6369
118,4.8637,,1.180000e-04,0.0703,0.5509,0.6268
73,4.8703,,7.300000e-05,0.0702,0.7426,0.6037
119,4.8452,,1.190000e-04,0.0703,0.6354,0.6610
74,4.8569,,7.400000e-05,0.0702,0.6068,0.6001
120,4.8489,,1.200000e-04,0.0703,0.5496,0.6651
75,4.8546,,7.500000e-05,0.0702,0.5690,0.6055
121,4.8508,,1.210000e-04,0.0703,0.5532,0.6355
76,4.8563,,7.600000e-05,0.0702,0.5521,0.6337
122,4.8611,,1.220000e-04,0.0703,0.5859,0.6650
77,4.8538,,7.700000e-05,0.0702,0.6043,0.6414
123,4.8536,,1.230000e-04,0.0703,0.6026,0.6492
78,4.8570,,7.800000e-05,0.0702,0.7201,0.6827
124,4.8521,,1.240000e-04,0.0703,0.5604,0.7662
79,4.8600,,7.900000e-05,0.0702,0.6641,0.7369
125,4.8610,,1.250000e-04,0.0703,0.6553,0.7094
80,4.8634,,8.000000e-05,0.0702,0.5440,0.6742
126,4.8484,,1.260000e-04,0.0703,0.4751,0.6190
81,4.8604,,8.100000e-05,0.0702,0.5785,0.6074
127,4.8635,,1.270000e-04,0.0703,0.5692,0.6848
82,4.8732,,8.200000e-05,0.0702,0.6144,0.6580
128,4.8505,,1.280000e-04,0.0703,0.5034,0.7203
83,4.8646,,8.300000e-05,0.0702,0.5479,0.6469
84,4.8629,,8.400000e-05,0.0702,0.4353,0.7504
129,4.8691,,1.290000e-04,0.0703,0.6189,0.8186
85,4.8557,,8.500000e-05,0.0702,0.4302,0.6275
130,4.8516,,1.300000e-04,0.0703,0.4128,0.7263
86,4.8571,,8.600000e-05,0.0702,0.4189,0.5505
131,4.8578,,1.310000e-04,0.0704,0.5197,0.6147
87,4.8688,,8.700000e-05,0.0702,0.3944,0.5950
132,4.8417,,1.320000e-04,0.0704,0.4159,0.6790
88,4.8471,,8.800000e-05,0.0702,0.4630,0.6079
133,4.8535,,1.330000e-04,0.0704,0.4372,0.6409
89,4.8582,,8.900000e-05,0.0702,0.4046,0.6313
134,4.8453,,1.340000e-04,0.0704,0.4026,0.6771
90,4.8462,,9.000000e-05,0.0702,0.4489,0.6251
135,4.8590,,1.350000e-04,0.0704,0.3954,0.7549
91,4.8595,,9.100000e-05,0.0702,0.4102,0.6892
136,4.8325,,1.360000e-04,0.0704,0.4592,0.6822
92,4.8560,,9.200000e-05,0.0702,0.4111,0.6992
137,4.8698,,1.370000e-04,0.0704,0.4137,0.7116
93,4.8449,,9.300000e-05,0.0703,0.3462,0.6905
138,4.8562,,1.380000e-04,0.0704,0.3908,0.6957
94,4.8501,,9.400000e-05,0.0703,0.3704,0.6433
139,4.8481,,1.390000e-04,0.0704,0.3643,1.1262
95,4.8560,,9.500000e-05,0.0703,0.3357,1.1795
96,4.8592,,9.600000e-05,0.0703,0.3459,0.8330
140,4.8486,,1.400000e-04,0.0704,0.3540,1.0215
97,4.8599,,9.700000e-05,0.0703,0.3624,0.6530
141,4.8452,,1.410000e-04,0.0704,0.3185,0.7201
98,4.8460,,9.800000e-05,0.0703,0.3694,0.6793
142,4.8476,,1.420000e-04,0.0704,0.3468,0.7510
99,4.8503,,9.900000e-05,0.0703,0.3461,0.6239
143,4.8501,,1.430000e-04,0.0704,0.3482,0.6625
100,4.8577,,1.000000e-04,0.0703,0.3473,0.6493
144,4.8432,,1.440000e-04,0.0704,0.3590,0.7365
101,4.8496,,1.010000e-04,0.0703,0.2933,0.7195
145,4.8495,,1.450000e-04,0.0704,0.3307,0.7911
102,4.8557,,1.020000e-04,0.0703,0.3150,0.7487
146,4.8515,,1.460000e-04,0.0704,0.3434,0.8079
103,4.8568,,1.030000e-04,0.0703,0.3045,0.7035
147,4.8490,,1.470000e-04,0.0704,0.3585,0.7332
104,4.8459,,1.040000e-04,0.0703,0.2797,0.6860
148,4.8527,,1.480000e-04,0.0704,0.3402,0.8997
105,4.8524,,1.050000e-04,0.0703,0.3658,0.7063
149,4.8508,,1.490000e-04,0.0704,0.3623,0.7439
106,4.8550,,1.060000e-04,0.0703,0.3069,0.7061
107,4.8601,,1.070000e-04,0.0703,0.3138,0.7019
150,4.8498,,1.500000e-04,0.0704,0.3191,0.7801
108,4.8511,,1.080000e-04,0.0703,0.3149,0.9119
151,4.8486,,1.510000e-04,0.0704,0.3461,0.9008
109,4.8541,,1.090000e-04,0.0703,0.3547,1.0525
152,4.8615,,1.520000e-04,0.0704,0.3968,1.0572
110,4.8592,,1.100000e-04,0.0703,0.2995,0.9205
153,4.8467,,1.530000e-04,0.0704,0.2981,0.9385
111,4.8565,,1.110000e-04,0.0703,0.3158,0.7945
154,4.8386,,1.540000e-04,0.0704,0.4120,0.8827
112,4.8506,,1.120000e-04,0.0703,0.2958,0.7583
155,4.8577,,1.550000e-04,0.0704,0.3147,0.8069
113,4.8552,,1.130000e-04,0.0703,0.3127,0.9052
156,4.8588,,1.560000e-04,0.0704,0.3482,0.9418
114,4.8479,,1.140000e-04,0.0703,0.2646,1.2804
157,4.8446,,1.570000e-04,0.0704,0.3455,2.0259
115,4.8474,,1.150000e-04,0.0703,0.2753,1.9790
158,4.8424,,1.580000e-04,0.0704,0.3557,1.1168
116,4.8499,,1.160000e-04,0.0703,0.2650,2.0129
159,4.8477,,1.590000e-04,0.0704,0.3395,2.0704
117,4.8538,,1.170000e-04,0.0703,0.2880,1.5916
